Description,Followers_count,Following_count,HCP_flag
Don t Guess Test is a social movement aimed to expand awareness and educate patients about the importance of comprehensive genomic profiling in lung cancer,139,60,0
It s the possibility of having a dream come true that makes life interesting,29,24,0
I fish boat play guitar banjo chess and PS3 videogames,198,272,0
,443,1575,0
Hematologist Oncologist Lung Cancer Specialist at Mount Sinai Medical Center Women s Health Advocate Boricua en la Luna Tweets are my own,249,271,1
,621,247,0
Men and people in decay live remembering where great men come from and strong people just need to know where they are going J I,106,403,0
Free lance journalist from Barcelona Mobile Health Global Editor mHealthGlobal and Communication in Patient Power Europe patientpower_es patienpowereu,1760,2001,0
,78,205,0
PhD in Writing Biochemical Psychology this face,640,2001,0
Biotech Clinical Research Guru Biotech Business Consultant I have spent over 2 decades dedicated to the biotech and medical device industry,382,345,1
Roadbiker BioInvestor interested what happened is happening will happen don t believe man made climat change all natural Freethinker atheist US West Fan,330,492,0
UCSF MD writer speaker Analyzing healthcare in lively iconoclastic funny ways Book The Digital Doctor Hope Hype Harm at Dawn of Medicine s Computer Age,8909,155,1
If you can now let's start improving the system from within,54,275,0
Journalist specializing in health information I work as a freelance for a long time always willing to learn,468,711,0
Born in Majorca Medical oncologist Clinical researcher Focused in lung cancer World citizen Major concerns human inequality and blue planet environment,710,872,1
18 belfast you re under no obligation to be the same person you were five minutes ago charmaine,326,82,0
Pioneering a New Era of High Resolution Biology and Single Cell Analysis,59,175,0
Pharmaceutical researcher conveys fisherman sank and refines writing and coloring,67,117,0
I like rollerskating hitting girls while rollerskating drinking beers and being hit by girls while rollerskating Oh yeah and kittens,134,315,0
Husband and father of three great boys New Urbanist Developer aspiring singer singer songwriter 21st century resaissance guy,387,61,0
Passionate about becoming the best me and doing something to make a difference,312,435,0
No one is born hating another person because of the color of his skin or his background or his religion if they can learn to hate they can be taught to love,864,656,0
Senior Vice President Physician in Chief Hematology Sarah Cannon,256,162,1
Director of The Laura and Isaac Perlmutter Cancer Center at NYULMC Founder Northern Biologics Working to cure cancer in our lifetime,355,166,1
Weekday planner economic developer Weekend adventurer backpacker guitar player and sipper of fine libations Legend in my own mind,165,389,0
Palliative Care Physician and Geriatrician,172,371,1
Visit my blog to see daily new tv shows for free in HD Just one click on the link and you can watch it directly Enjoy watching and FOLLOW ME,10,191,0
Uppity gay Buddhist author historian,793,546,0
you think you re all sass but you re just trash,220,298,0
Mother Doctor Entrepreneur Activist Liberal Social Economic Justice Advocate IF YOU WANT TO TEST A MAN S CHARACTER GIVE HIM POWER UniteBlue p2,2818,2661,1
Pediatrics Rheumatology and Pediatric Rheumatology,789,637,1
Subscribe FREE to big3bioBOS big3bioSD and big3bioSF daily newsletters that cover biotech s Big 3 the world s top life science hubs big3bio,663,1080,0
Many bad bugs never die,53,107,0
,10233,2016,0
UK Head of Oncology Service hcahospitalsUK Promotes use of yoga maggiescentres ashtangi RYT200 http t co qEI144qTwl Views are my own,2329,1806,1
Surgery Resident Patient Advocate Holistic Medicine Eschatology Modern med socio economic political issues Expect the best prep for worst Faith Grit Success,51,160,1
Associate Director of External Opportunities at Epizyme EZPM,1829,1984,0
,68,179,1
,36,115,0
I Cooked Competed and Won a lot No gods Human Rights Equality Dad I Definitely Science Live Medicine Love Cosmology Laughter Peace beautiful people,1745,1710,0
TEDxTalker who loves listening learning sharing appreciate humour happiness and eating chocolate covered almonds End of life goal a joyous exit,2767,2362,0
,129,293,0
Communications Dir at Inspire providing safe secure groups online for patients to connect with others for support and info I m on Twitter as teaminspire,1723,817,0
FanáticaDelMillo 18years Pisciana Promo15 Reggae Follow me and see if I follow you,741,762,0
Chief Procurement Officer for Bristol Myers Squibb Passionate change leader Small Businieas Diversity advocate,173,153,0
GP trainee enjoy EBM match doctor for worcester warriors originally from Belfast Interested in sports medicine former rugby referee views my own,438,1159,1
Juggling queen marketing maven and power mom,444,1608,0
Programmer WebDeveloper with a passion for solving the world s problems by way of bigdata computerscience artificialintelligence math code php java,925,401,0
An intelligent classy well educated woman who says fuck a lot Hello,322,84,0
Scientist interested in cancer genetics cancer systems and therapy development The opinions expressed are my own,227,117,1
News weather traffic more for Seattle Western Washington NBC affiliate Email newstips king5 com,174274,7536,0
Cantautora música Catalana LGTB Member ANC Independence of Catalonia Without fear or anger With good sense and happiness We are and will always be,1356,1996,0
,156,453,0
adventurous still an ARSENAL fan treats people the way they treat me,299,914,0
PU PH Pharmacy Division University Hospital Rennes 1 Vice President SNPHPU,55,137,0
Passionate about personalized medicine after breast cancer diagnosis Education is key patientadvocate breastcancer survivor,49,94,0
Venezuelan American mother of two working in the field of Venezuelan Accouting and Administration struggling to bring out communism and the Castros of Venezuela,261,272,0
looking forward to the summer,13,50,0
Professional Article Writer Wordpress Website Free Daily Info http t co yJaRbhzxqI http t co 0Qe9IfU3Hm,3251,183,0
We re friends and family of AJ praying that God inspired doctors family and friends will SaveTheCheeks BeatCancer ChildhoodCancer,215,279,0
Practicing ribosomologist biochemist Developing interests in microbiology evolutionary biology astronomy Prof Oklahoma State U,277,183,1
Student of Medicine and Surgery I love travelling and discovering the world ambitions politics and humanitarian organisations,150,115,0
Advocate of quality photofinishing AgX and pulp make prints to create heirlooms for future generations Go Gophers Ski U Mah,726,2001,0
Radiation Oncologist US Dept of Veterans Affairs VCU Massey Cancer Center,290,137,1
16 Stocks Futures LeadersIC Member,3340,249,0
,3349,3425,0
GOD Family and Country Human Resources Professional Manchester United Fan Patriot,24,36,0
Professional Model Specializing in Marketing and Sales Contact MLShick7 gmail com,84,274,0
We are the ORIGINAL program We share fresh educational content and good music for EVERYONE Visit our blog and listen to us,3380,3543,0
Mama marine wife gyn cancer fighter cancer surgeon researcher grad student fitness junkie ex cheerleader california girl,86,28,1
Caretaker Clinician Brain Tumor Survivor Advocate An ordinary person who has been and continues to be humbled by extraordinary circumstances,82,194,0
Liverpool FC fan JFT96 YNWA Believed in Brendan from the start Accrington Stanley Seattle Seahawks Labour Party Socialist,761,695,0
IT Manager Part Time Trader specializing biotech Poker Player,618,95,0
Uro Gynae oncologist interested in Brachytherapy and Research Trying to develop services under challenging circumstances,48,57,1
the answers are ephemeral the questions no,722,1162,0
Doctor UCM Pharmacist from Hospital in Toledo Always running,925,1175,1
Mom computational biologist Tweets about bioinformatics translational medicine microbiome big data genomics genetics stem cells and women in stem,74,354,1
,689,890,0
As a theologian clinician I desire to share a systematic approach to whole person health As an Apostle for Christ I am compelled to share The Source,38,142,1
Starting to write scripts Fan of Cinema and e Sports,195,151,0
Information Flaneur Physician reader of books airplane traveler speaker writer learner Wandering around the Internet and the world looking 4 spontaneity,11109,1498,1
You thought it You believed it You created it,419,583,0
3Day Walkers from the Revere MA area Everyone can make a difference Research Associate Scientist AndiAngel12 Chilenita,688,1996,1
Account Director in pharmaceutical advertising with a focus in oncology by day runner sometimes traveler Mom and all around fun girl by night,57,364,1
Biological engineer at kochinstitute cyclist nerd,225,336,0
ProjectedEHR Remote control office desktop via Chromebook display EHR on TV 4 interactive educational use at visit painting after 20 yr hiatus hopeU enjoy,1914,1711,1
Why pamper life s complexities Tweets be mine mozarmy safc,426,872,0
ADE Student Right in the UJA Fight for EVERYTHING nobody is going to give you ANYTHING EVERYTHING HAPPENS EVERYTHING CHANGES CR7 The Improver Insta migueliyo_3,251,228,0
MD Resident in Medical Oncology Life long learner HumanRights believer LanguageLover,97,102,1
Breast cancer surgeon wife mother runner Interests include pregnancy before during after breast cancer HBOC and fertility preservation Tweets are my own,230,285,1
SteelerNation American Penguin NY Yankee Nittany Lion Gamer Lover of Good Music Culinary Arts and Sports Betting,285,807,0
"We live for you, beat for us Iker Casillas",170,275,0
Quietness tolerance cool zen art music poetry,290,291,0
Transportes Sanitarios Sur de Córdoba 50 ambulances and 100 professionals at your service We take care of you,9503,7647,0
Entrepreneur Marketing Consultant PR Branding Social Media SEO tools and web 2 0 Brand manager,1706,1809,0
Enthusiastic urologist at the Urology Center Twente Twitter now just as enthusiastically on a personal title Is the father of 3 hobby farmer and hunter,948,718,1
Focus on improving hygiene in anesthesia environment,127,112,0
PreMed student Pharmacy Tech Technology lover Owner of two sugar gliders Chronic Illness Pain Warrior TN AIP CH Migraines AFib SVT,199,670,1
Get up smile smile sigh and move on If you fight for what you want sooner or later will come,732,603,0
2nd year oncology fellow Chair Elect ACP Resident Fellow Council member ASH Trainee Council GME costs of healthcare are my passions Tweets are my own,355,544,1
Radiation Oncologist Medical Director Princess Margaret Cancer Centre immediate Past President UICC http t co TGR2UUhZVV global cance opinions personal,1386,490,1
River is born and lived Skrillex Wiz Khalifa Snoop Dogg Miley Cyrus Yessi loves me Erica dominates me bitches I love danu a lot I am aylu pilla,562,740,0
Official account of the IRCCS Foundation National Cancer Institute Milan delete it https t co t7ESEmfXYD,110,233,0
LIFE SCIENCES and STUFF personal account tweets are not recommendations theyre my opinions I dont know anything so dont listen to me,4215,1434,0
Partner at European law firm Fieldfisher Specialise in bringing mesothelioma claims for asbestos victims,369,300,0
Defender of lost causes Giving armed battle with a froward alone of porfiada that I am just,1673,1635,0
Nobody loves you the way I do 3 5 14 PIN 7A1054EC IG natii_ok,419,1917,0
Wadhwani Chair in U S India Policy Studies at the Center for Strategic International Studies Know a bit about s political economy and short haircuts,16,92,0
Comments made here are my own,20,80,0
i d rather laugh with the sinners than cry with the saints the sinners are much more fun,616,466,0
Indoor soccer player Never give up Zipi Zape Beyond her dreams there is a feeling Because 99 is part PLL PaPaNaTaS malulera,404,428,0
Associate Dir Clinical Research at Winship Cancer Institute of Emory University Medical Oncologist GI cancer expert Opinions my own http t co uLlb9Uc0Tv,65,42,1
15 And on the contrary and vice versa And in the good and in the adverse Of the right and the reverse you first the world after ALLP You always went for my incomparable,390,244,0
VP Flatironhealth Oncologist Runner Pilot,158,176,1
I will not give up the throne to anyone in Murphy's Law I count the days and nobody knows why I am from Racing and the Ka fuck my life,1442,1439,0
hala madrid is more than a feeling is the team that burns me full of passion I feel the colors with my heart lose or win for life HALA MADRID,3371,1669,0
"I was born in GuelataoOaxacaMex and as a child I took care of Cleptoplutocrat sheep, forget about the much crowded PEACE while NOT respecting the rights of the people",1714,1587,0
What is going is Andanto,185,154,0
Patricia Rennó Pharmaceutical Hospital blog creator and profiles on social networks Pharmaceutical curious with the aim of disseminating health information,1172,960,0
I live by and for Bisbal Auryn SSLover Culé Barriero Sweet California Auryner ABCD2 Pastelito TúyYo14 Circus Avenue,1385,1210,0
Opinions are like the asses we all have a team of 4 umbrella stands,183,186,0
Glycoscience Tools for Biotechnology Bioenergy A BBSRC NIBB,225,181,0
We all talk alone when we go by motorcycle I record it Motoblog,153,131,0
I m weird texture of illusion and reality from reality and the perception of existence and the yard I am the greatest illusion and the biggest torme,844,815,0
,1073,2001,0
EU public affairs comms expert specialising in GlobalHealth and not only Pole mum travel dog enthusiast enjoying life in Brussels Views my own,74,155,0
I live in a place called world,114,306,0
,99,289,0
A monthly publication providing critical insights into the business of medical innovation in Europe Published in London distributed by subscription worldwide,263,426,0
Part of the Big3Bio life science hub coverage network Subscribe to the Big3Bio San Diego daily newsletter for FREE http t co 3ffg632hZF,422,565,0
Doctor in Medicine and Pediatrics Member of the Lebanese Order of Physicians Lebanese Pediatric Society Master s Degree in Psychology Psychotherapist,1558,1995,1
CCTA seeks to raise public awareness about the societal benefits of clinicaltrials with the goal of encouraging more patients to consider participating,269,86,0
And suddenly it was no longer gravity that sustained me to the earth but it was the living one for him not for you,1384,463,0
TAFAD AT THE BEST BY LAW NO PAIN NO GAIN Alegría y Osadía lives and lets FlyParla INSTAGRAM rubbb93 die,509,421,0
Twenty year business executive now dedicated to lung cancer advocacy as CEO of LUNGevity Foundation,3680,539,0
Lean left Do yoga Tweets on healthcare sports politics are my own,261,731,0
Ph D in Immunology Worked in organ and stem cell transplants fields for years Helping develop Immunotherapies in Pharma,186,194,1
Synergy Design and Innovation We are carmenchu33 Nathahari and Yelinares three journalists who reinvent ourselves and help others to transform,12300,690,0
Crystallise Limited specializes in healthcare analytics decision support and predictive modelling,217,532,1
Science writer media relations director JohnsHopkins Kimmel soprano and baker Views are my own,30,22,0
NOTHING IS IMPOSSIBLE Me in LJ kharlamov_200 Instagram akharlamov Facebook and ResearchGate,495,2001,0
,162,181,0
I am a Gynecologic Oncologist with research interests in cancer screening costeffectiveness healthoutcomes bioinformatics,11,24,1
Child of God Christ follower wife mother of two nurse practitioner striving to be a worker among workers,61,306,1
Pediatrician Author Parenting Expert Health Reporter and Mom of 3 boys,7066,1459,1
Therapeutic Massage in Waikiki 808 383 7821 http t co KiSiBnp3L0 Shiatsu Lomilomi Deep Tissue Sports Pohaku Reflexology Aromatherapy,1968,1924,0
Husband to Hollie father to Agent W Agent P,19,54,0
Psychiatry Resident and Neuroscientist Yale,64,389,1
Malagueño 16 I am not special I am limited edition Captive Sentence and Zamarilla,318,483,0
Seasoned Healthcare Marketer passionate about inspiring action and improving healthcare,35,87,1
18 TSAAFD student Soccer lover and bético from and forever THE NEIGHBORHOOD Only God can judge me Inst carlos96paez LAS PERLAS player,467,388,0
The best rockets I composed on your skin Lostly in love with Cℓub Atlℯticℴ ßℴcα Juлiℴrs¹² Union of Fiesteros LPDA,711,685,0
Clinical trials monitor I like fashion going to the movies and my favorite sport is paddle tennis,38,200,0
Supporting lifelong learning for the practicing nurse,678,1458,1
,652,615,0
Frei Mann lived in the hell world,5,26,0
,438,588,0
CEO of The British Society for Immunology where the great discoveries begin Views all my own,314,303,1
Rare Disease parent and advocate editor of Medscape Rare Diseases Executive Director Content Partnerships Medscape,57,100,0
Timely relevant price sensitive high conviction stock market ideas Join our daily world markets Best Ideas mailing lists here http t co LejW2q73Ls,1442,34,0
Single Lesbian Need Life Mate Fan of AgnesBrunker1 as Lily on OUAT NikkiBanks and shipping Julie Nikki on TheReturned,324,2060,0
,1807,346,0
Stay if you wish or go your way The night is approaching and shelter you must find I never sigh or blush I never regret to think You stay,3655,3399,0
,70,89,1
BRENDA http t co PIm0sqrrMF,67,329,0
Age SilverEco Monalisa TransitionDémographique SantéDurable addictions findevie,3132,2212,0
Reporter at The Wall Street Journal covering biopharma med tech etc Holler if you hear me joseph walker wsj com,1960,860,0
Preventive Cardiology Johns Hopkins Ciccarone Center for the Prevention of Heart Disease,409,255,1
,217,86,0
The Doctor Who Club Of Victoria President DoctorWhoVic http t co RJPENLkZu1 Security Guard Officer Footscray westernbulldogs supporter Married2Kristen,486,1497,1
Modern Healthcare Magazine Reporter Former CNN Health Writer Empowered Patient Producer Blue Zones Longevity Explorer Vegetarian Runner Travel Addict,2753,777,0
Life is like a mirror smiling at you if you look at her smiling Mahatma Ghandi,58,135,0
Thoracic oncologist with interests in lung cancer and mesothelioma clinical trials patient education and social media All opinions are my own,1324,190,1
Dr Julie Feldstein Director Hematopathology Professor of Pathology Mount Sinai Health System Icahn School of Medicine Tweets and opinions her own,1045,1927,1
The latest breaking financial news on the US and world economy personal finance money markets and real estate MoneyNews24h,103,39,0
Director of Research Head of Psychology AHC Lab Mgr UCD Optimist Health Psych Nana Cancer Survivorship Ireland URL http t co joAOuXHFcR,819,1002,1
I m the Larry Tate of corporate exhibits and events,306,756,0
Norwegian News freak Christian love travelling Friend of Israel history like quates good friends try to be objective open minded good friends,1743,1968,0
Public Affairs Scotland Cystic Fibrosis Trust I have cystic fibrosis ddf508 I am doing ok Trying to be a better feminist All views my own,353,741,0
Making 32 a day on http t co gaQDlka5tP,157,1995,0
,106,380,1
Provide for this wonderful and unforgettable day,49,115,0
Rosemary Snyder publicist blogger humorist speaker editor helping non 4 profits tweeting about imp things 2 know getting word out roesnyder aol com,9795,9761,0
Hematopathologist Molecular Pathologist lymphoma leukemia leusm MPN MDS,40,17,1
TeamEPRUS TeamRS TeamReserveSanitaire AlwaysLoans MSRG Commitment MSGU Health Emergency,2317,1251,0
I was born in 1957 in Badajoz I have been in Barcelona for 52 years 3 years ago I discovered how little I knew and decided to start learning and in those I am learning,133,104,0
Medical oncologist Thoracic GU skin tumor unit Hospital Clinico San Carlos Madrid Spain,284,207,1
A National Cancer Institute Comprehensive Cancer Center and member of the National Comprehensive Cancer Network,4725,4414,0
Pathologist fond of pediatric pathology Hospital Infantil de México Federico Gómez UNAM,122,152,0
Vincent Misrai MD Urology Clinic Paster,497,302,1
Founder freelance writer for Write Type Communications Blogger Social Media Savant My views are my own RTs Follows Endorsement Trying to do some good,3472,3808,0
Medical informatics changing the world one medical record at a time,4809,3972,1
Don't get on the bad side of an argument simply because your opponent has put himself on the right side Baltasar Gracián,412,573,0
Interests IT online retail pharma adherence solutions Commercial Trade Channel MSD Twitter is completely my own stunts LinkedIn http t co P7dZM3AElR,94,192,0
Healthcare Enthusiast Data science Analytics Consultant Volunteer Budding Triathlete Avid Traveller,34,53,1
Live every day as if it were the last Milan Barca,452,534,0
medical oncologist concentrating on translation of germline genetics opinions here are my completely own may not correspond to my employer s,841,199,1
Anatomic pathologist previously medical doctor with MSF doctors without borders nature lover interested in sociology photography as well as mosaic art,269,679,1
Medical Oncologist Clinical Trialist I specialize in Immunotherapy and Prostate Cancer All my tweets comments are my own,463,454,1
Saving lives by helping the people of St Louis stay well get well fight back find cures ACSSTL,1667,1649,0
Fellow Oncology Mayo Clinic Tweets reflect my own opinions,68,187,1
,695,930,0
,23,80,0
Director Thrombosis and Hemostasis Program University of Vermont Medical Center Professor of Medicine University of Vermont,57,60,1
,106,363,1
"Detective journalist Occasional trainer Procrastinator Wrong, but good background Changing mood Nose in the air always",1366,1678,0
Colorectal Cancer Journal Tailored to clinicians with an interest in colorectal cancer Published by Future Science Group,380,685,0
Each story has an ending but in life every ending is a new beginning PhilologistIn Seed ProjectGetting Self Governing 15M web G LEG CoastDeathEnd End,730,1161,0
mother of Ludovica Carlotta oncologist rare tumors responsible UFIM Hospital Alessandria Piedmont Italy,103,134,0
,65,169,0
Hard hitting journalist w passion for politics media Syracuse Alum Admires Strength growth maturity Tennis A few videos http t co 4YyEM5Zld1,1435,627,0
JesusLover Determined to leave a mark of excellence THE University of Alabama 19 Pre Pharmacy Biology Major FutureOncologyPharmacist Child of The King,1515,1372,0
Ketchum Inc Vice President Media Strategy Ex Reuters Bloomberg correspondent in Washington DC KC native RT for fun,760,640,0
Clinical Research Coordinator Pediatric Oncology Lovin Life Counting My Blessings Along The Way,71,472,1
w line atom1998 ig atomlipta,318,71,0
secretary metaphysics student criticism common sense intelligent logic,2211,2086,0
,1301,1306,0
,776,606,0
techpreneurs can pitch connect with potential vcs promoters marketers ETC and VICE VERSA,41,213,0
Pharmacoblast Science is my First Love Food is the Second She is Third Big sister _Alishantana_ I ask questions Evil genius,631,523,1
Dunbar Limelight Dance Co slave to M TC THESE BAGELS AREN T BAGELS,899,724,0
Professional Journalist Training Physician This is a personal account What I write commits me only,20238,260,1
I am the one I am Ñuñoína Azul and Libertaria to dry I am not as violent as they fear nor as peaceful as they want Freedom in Equality there is Justice,4007,3284,0
I am a medical student traveler dream of change the world man of hobbies friendly,211,1124,1
Digital Remote Health Internet of Things Pioneer and Leader http t co AeEInjXSkj,160,368,0
I do not explain how more sausages and fools fit in this holy country To all this one of the Atleti And Wednesday Saturdays and Sundays Antimadridista,605,1395,0
There s a seamless solution in your future Take the survey LifePlan StartUp surfreportnj,319,796,0
Managing Director in my work,58,68,1
Madrid madrid madrid hala madrid,199,1171,0
Fellow physician in chest department Taipei veterans general hospital Focus on lung cancer and clinical trials All opinions and critics are mine,73,229,1
Information Specialist Systematic Reviewer teaching evidence based methodologies Interests sport music food These are my views alone,1001,1185,0
Series movies television news laughs weird things weirder things a little bit sometimes laugh sometimes cry,46,62,0
"Passion for Volleyball and Hockey Music lover Millionaire Cavegol Lover of Teo Gutierrez O or Almost 18 3 And if you hate me, suck me the ortenn",324,210,0
Healthcare reporter BioPharmInsight NYU SHERP alum past NautilusMag NatureMedicine Scienceline Film trivia junkie Wannabe baker,388,376,0
Follow Me to get your tweets learnt and be retweeted Remember to Mention Tech Technology Tech_Sharer on your Tweet Creator kyroskoh 21 Apr 2015,1731,59,0
God will forgive me is his trade BarçaAgainstFascism http t co HRczsQQxpE,217,1324,0
Executive Director Physician Relations Business Development MD Anderson Cancer Network I like traveling with family driving classic cars playing hockey,505,227,1
I am neither white nor black compi I am pink P,19,156,0
Surgeon usually Photographs http t co MazfkOH2Dh,714,207,1
New Host of The Pew ULC minister Bachelors in Psychology Doctorate in Divinity Author of Religion The Ultimate STD and a new book coming in July,3582,3534,1
Striving to be the best I can RA pt retired RRT mult autoimmune disease pt partner mother of 2 PDD awesome kids 1 in the mid MashupManumit sometimes blogger,88,101,0
Hematologist Med Oncologist with interest in Pall Care and Meded Tweets are my own not medical advice not affiliated with my employer and often whimsical,401,592,1
Always with an idea in mind With a smile With my friends even if they are not close With optimism and determination With the heart in everything I do,168,246,0
I was born I grew up and I keep growing,36,181,0
Customer Support Analyst viaoncology WVU Alumni Marketing Guru Lover of Nature Animals Unofficial Lion Welfare Activist,23,276,0
Art competition exhibition presented by Lilly USA LLC and NCCS Invites anyone touched by cancer to express their cancer journey RTs endorsements,1070,291,0
Tanya Morgan Paris_102 AP Analyst Proclaimed Wine Lover I Love my Family Friends Art Pinup Fashion and Music,74,397,0
,755,1844,1
,123,121,0
ex KC Royal and SF Giant now an adjunct professor beat multiple myeloma,614,193,0
Pakistani Pharmacist Academician Student Riphah NUST Stanford alumni,151,228,1
live laugh and love and watch hockey viva l italia,13,53,0
Cadiz Adult with a child's soul but myself,282,369,0
healthcare venture capitalist biotech lifescience medtech chemist Boston sports fan Michigan fan outdoors enthusiast,1595,180,1
,1158,475,0
We are as we want and we did not realize,655,354,0
I am in a good place happy healthy Im surrounded by a loving family and wonderful friends who mean the world to me I work hard and like to play hard,25,94,0
aka Doctor Aunt Jane physician in private practice general internal medicine executive director Association of American Physicians and Surgeons,1776,298,1
Never run away from your mind,493,822,0
"I have your medicine, but the SSI does not pay",259,238,0
Executive Director Qatar Biomedical Reseach Institute Qatar Foundation Associate Professor of Life Sciences Swiss Federal Institute of Technology,636,346,1
Dr. François unchained Correspondent in London for the Potard Traveler http t co GWsVcuZeY7,649,677,1
,21,47,0
Father husband cancer drug developer amateur mixologist,85,57,1
Director of IT at AstraZeneca IT Innovations and automations,25,13,0
My passions animals nature Michael Jackson and enjoy life with the beings I love D I am more retweeter than tweet the truth,755,799,0
Associate Professor Pathology Federal University of Minas Gerais UFMG,74,185,1
All views my own I also tweet for UoE_MPHonline,58,134,0
Soccer is life Clan Aviate Youtube SwaggyKD,142,138,0
,2,18,0
wife to 1 mother to 9 lb ball of fur lover of travel skincare volunteering sports,3088,2889,0
OPTIMIST walk in PESSIMIST I ll hold the exit door for You ThankYou thankYou thankYou priyankachopra IMUA WATF SLM IMAIPOHL WTOTPE BLDCWP,1789,407,0
Medical Publications Professional updates on Pharma biotech science medicine altmetrics and scientific publications all opinions are my own,758,2000,0
,6461,5351,0
,202,219,1
Radiation Oncologist by proffesion love being a doctor any question about Cancer are welcomed hope to Answer them to your satisfaction,25,389,1
emergency med in all flavors vet otherwise finance science,229,1992,0
Mastologist pathologist committed to my country,268,339,0
ST LOUIS MO I Quit Smoking with Acamprosate I was hooked on Nicotine some 30 years I m Nicotine free now for 7 years To see how view my website,35259,38614,0
Physician Journalist Radio CousinNeurosurgeonDr IrvingCooper ForeignPressAssociatioLondon HEALING RADIO NATURE Environment Wilderness MasterOf SocialMedia,6120,6091,1
A nonprofit collecting cancer stories and data to give patients the information they need Share your story today https t co GCYY8abrDR,1300,962,0
physician writer cancer prevention researcher book lover and advocate for women everywhere public health hereditary cancer cancer genetics,107,446,1
,3,22,0
MSc Biochemistry StructuralBiology ProteinScience I want to recover the riverMagdalena LosDinamos,613,828,1
oncological urologist at Radboudumc Nijmegen Chair EAU Young Urology Office,128,152,1
The Illinois Science Technology Coalition represents the full range of science technology activity in Illinois and powers http t co Ad9BmPzPGX,2406,2024,0
Retired MD Love to trade,90,151,1
BRCA2 DCIS DIEP reconstruction Hysterectomy BSO I blog about BRCA in real time as it affects me in the moment,362,133,0
I don t like use white coat Married with Medical Diagnosis Psicology World always will need doctors Tennis Boxing are a strange combo and I like it,255,848,0
Digital Cartographer Bridge Builder at Intouchsol I ve listened to preachers I ve listened to fools and watched all the dropouts who make their own rules,2551,1531,0
,1406,1599,0
lover of George Carlin beer primo cigars little patience for stupid Corvette enthusiast NYC borne LA by relationship Hawaii dreaming,37,97,0
geek in general specifically of board games and wowtcg Java programmer Who is crazy the crazy or the crazy that follows the crazy,475,984,0
,115,104,0
PBM and Rx wonk Ideas Facts RTs mostly re healthcare pharmacy Tweets r my own RTs not endorsements UMich WUSTL Alum Consult for Deloitte,2303,2040,0
I am a macmillan nurse interested in QI improving patients experiece technology learning and sharing My views and opinions are my own xxx,1255,2001,1
How to attract the lady that you want,292,3,0
Biopharma Journalist Syracuse Alum ThePinkSheet1 scripnews Reporter Science Nerd Jersey Girl CrossFit Obsessed Thoughts from my own brain,2384,214,0
Assistant Professor at MD Anderson Cancer Center in Surgical Oncology and Genomic Medicine Immunotherapy Advocate Working to end cancer,18,31,1
"I have a degree in Live Psychology in Córdoba. Bullfighting Capital Trekkinera Traveling is my biggest pleasure, a supportive fan in love with Boca Juniors CABJ",110,133,0
Duke oncologist and palliative care physician blood cancer specialist Working to improve QOL and access to palliative care in hematologic malignancies,1423,481,1
Freelance science journalist PhD in molecular biology Interested in too many things Don t ever want to leave NYC Except maybe for Paris,376,333,0
UIHC BMT and Hematology physician Interests Lymphoma Leukemia MDS Transplant GVHD Immunotherapy All tweets and opinions are mine,36,103,1
Cristiano Internal Internal Future Dr in HyperMusic Oncology PAIN GAIN is my motto,412,514,1
Physician scientist at OHSU specializing in sarcomas and adolescents young adults with cancer,66,80,1
RN BSN MBA Healthcare Management candidate Ret US Army Nurse extrordinair Warrior princess Will never never never give up,996,1508,1
Work in communications for Roche Views my own,290,673,0
I was passing by and,235,583,0
Medical Immuno Oncologist Translational Clinical Trials In pursuit of cure Tweets are my opinions and do not represent NCI,346,290,1
I coordinate media coverage for Roswell Park Cancer Institute an NCI designated site in Buffalo I used to work in print journalism as a reporter and editor,292,419,0
Chung Ang University Hospital Breast Clinic Breast Surgeon,47,59,1
I enjoy life and love to laugh,213,151,0
A Physician and a Scientist Looking for a cure for Cancer,796,986,1
Physician scientist into multiple myeloma genetics raising kids educating MDs PhDs finding peace Opinions are my own RT is not endorsement,1657,1056,1
Pharmaceutical Scientist Cancer Researcher and Associate Professor I like photagraphy mountain biking craft beer family freinds Tweets are my own,124,257,1
Oncology fellow Football addict Juventus and Italy Fan,36,119,1
M E L A N C H O L I A,105,88,0
All Insulation vapor barrier attic crawl space wall ducts and water pipes rodent inspections rodent proofing clean outs,697,1980,0
,261,199,0
I am many things but you ll see of me what you want to see,314,450,0
Management Booking Music changed my life but now you changed my soul,1766,820,0
The mission of Living Beyond Breast Cancer LBBC is to connect people with trusted breast cancer information and a community of support,5909,1537,0
Biostatistician DFCI Myeloma GU Onc ClinicalTrials,12,23,0
I write for pleasure for work because of conviction of necessity I write because I can't live without writing Radio on hold for now,1468,1676,0
Scientist interested in human genetics genomics biochemistry and health related areas,4232,3667,1
DREAMS aren t meant to be chased GOALS are MC17 MCFootball SteelersNation,1273,1612,0
Project of something difficult but not impossible SETA I know that the impossible can be achieved life changes and will change,215,461,0
I love to write video games technological gadgets comics good food Come on there are few things that I don't like D,1230,123,0
im in love with a loser called nash grier peru,380,136,0
Entrepreneur author and thought leader now CloudStore Broker,217,439,0
For all precarious fellows licensed without a contract or with felisa laugh contracts,1253,130,0
Diagnosed at 36 and now living with the effects of breast cancer treatment Trying to raise awareness on behalf of YBCN Spare time science geek,174,445,0
